Retailer Name,Street Address,City,State,Zip,Minor Involved,Sale to Minor,Product Type,Brand,Inspection Date,Decision Date,Inspection Result,Link,Charges
"GETTY MART","1700 ROUTE 72 NORTH","LEBANON","PA",17046,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"GETTYSBURG TRAVEL PLAZA","25 SANDOE RD","GETTYSBURG","PA",17325,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"GIANT","2021 E MAIN","CORTEZ","CO",81321,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"GIANT","1205 S MILTON RD","FLAGSTAFF","AZ",86001,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SHICKS GIFTS NOVELTIES & TOB SHOP","752 MAIN STREET","CLARION","PA",16214,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"THORNE GLENN","4 MARKET ST","WARREN","PA",16365,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"KUM & GO","104 SOUTH BLOOMINGTON","LOWELL","AR",72745,"Yes","Yes","Smokeless tobacco","Other","04/22/2011",07/21/2011,"Warning Letter","","1140.14(a)-Sale to a minor"
"GRACES KORNER STORE","201 3RD ST","HOME","KS",66438,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"GRAMPIAN ONE STOP","ROUTES 879 AND 219","GRAMPIAN","PA",16838,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"GRAND LAKE VARIETY","CORNER ROUTE 1 & LANDING","WESTON","ME",04424,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"GREENGARDEN SHELL T S","1502 GREENGARDEN RD","ERIE","PA",16501,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"GREENWOOD MOBIL","105 GREENWOOD AVE","WYNCOTE","PA",19095,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"MT GRETNA PIZZERIA","RT 117 & TIMBER RD","MOUNT GRETNA","PA",17064,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SHAKTZ GROCERY","6 S 3RD ST","HARRISBURG","PA",17101,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"MACK WESTSIDE GROCERY","15179 US HWY 49 SOUTH","BELZONI","MS",39039,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"HUMMELS GROCERIES","463 CLEARFIELD ST","WALLACETON","PA",16876,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SHOLES GROCERY","213 MAIN ST","GRAMPIAN","PA",16838,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"HALLUM STORES","2205 N 4TH ST","FLAGSTAFF","AZ",86004,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"HANDEE SHOP","584 MAIN ST","PHILADELPHIA","MS",39350,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"HANDY MART S","8061/2 S BROADWAY","CORTEZ","CO",81321,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"HARBORCREEK SHURFINE","6992 BUFFALO RD","HARBORCREEK","PA",16421,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"HARRINGTON WINE AND LIQUORS","10 SUMMER STREET","CHELMSFORD","MA",01824,"No","No","N/A","N/A","05/10/2011",07/21/2011,"Warning Letter","","1140.16(c)-Use of a self-service display in a non-exempt facility"
"HARTLOFF SERVICES","129 W MAIN","WATERVILLE","KS",66548,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"HARTLOFF SERVICES","501 MAIN ST","BLUE RAPIDS","KS",66411,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"TOWEYS HATBORO TAVERN INC","117 S YORK ROAD","HATBORO","PA",19040,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"TERRIBLE HERBST","3291 E ANDY DEVINE AVE","KINGMAN","AZ",86401,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"LA HERRADURA TACO SHOP","177 PARK ST","BENDERSVILLE","PA",17306,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"MARS HILL IGA","7 MARKET ST","MARS HILL","ME",04758,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"MARS HILL ONE STOP","1 BENJAMIN ST","MARS HILL","ME",04758,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"HING SAN","447 E HIGH ST","POTTSTOWN","PA",19464,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"HOFFMANS SUPERETTE","1203 GREENVILLE MERCER RD","MERCER","PA",16137,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"HOLYOKE LIQUOR MART","2217 NORTHAMPTON STREET","HOLYOKE","MA",01040,"Yes","Yes","Cigarettes in a package","Other","05/02/2011",07/21/2011,"Warning Letter","","1140.14(a)-Sale to a minor;1140.14(b)(1)-Failure to verify age"
"LEE HONG","1294 MAIN ST","LOUISE","MS",39038,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"UNCLE HOSERS","20 EAST 2ND STREET","CHADWICK","IL",61014,"Yes","Yes","Cigarettes in a package","Other","04/27/2011",07/21/2011,"Warning Letter","","1140.14(a)-Sale to a minor"
"TEXAS HOT LUNCH","24 40 FIELD ST","KANE","PA",16735,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"LAJOSE HOTEL INC","103 CECIL HURD HWY","LAJOSE","PA",15753,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"J & R IGA","133 E 2ND","FRANKFORT","KS",66427,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SGO INC","20 N 2ND ST","HARRISBURG","PA",17101,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"POKEYS INC","3547 PHILIPSBG BIGLER HWY","W DECATUR","PA",16878,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"STATE NEWS & VARIETY INC","431 STATE ST","ERIE","PA",16501,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"WATSON KUNDA & SONS INC","349 S HENDERSON RD","KING OF PRUSSIA","PA",19406,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"THREE STAR PETROLEUM INC","1103 PENNSYLVAINA AVE AVE","WARREN","PA",16365,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"A J'S LIQUOR","13490 E MISSISSIPPI AVE","AURORA","CO",80012,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"LOAF 'N JUG","173 BULLDOGGER LANE","BAILEY","CO",80421,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"KNIGHTS STORE","31 CENTRAL ST","DANFORTH","ME",04424,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"LANA'S MARKET LLC","400 NORTH QUEEN STREET","LITTLESTOWN","PA",17340,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"LEBANON MART","1610 NORTH SEVENTH STREET","LEBANON","PA",17046,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"T/A LEPPERT'S VIDEO","980 PETERS MOUNTAIN RD","DAUPHIN","PA",17018,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"LIL POYUN ONE STOP","190 HWY 51 S","SARDIS","MS",38666,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"PARKER PAYLESS LIQUORS","9749 S PARKER ROAD","PARKER","CO",80134,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"VILLAGE LIQUORS","5305 W 38TH AVE UNIT D","WHEAT RIDGE","CO",80212,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
